Label,Statement,Party Affiliation,Credibility Score,Categorized Job Title,Categorized Subject,Categorized Context,Sentiment
half-true,"In Rick Perrys Texas, we import nurses ... from other countries.",Democrat,0.25,Government Officials,Healthcare,Public Speaking,NEGATIVE
mostly-true,There is a federal criminal law that says its a crime to transport dentures across state lines.,Republican,1.0,Government Officials,Healthcare,Broadcast Media,NEGATIVE
mostly-true,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,Democrat,0.7142857142857143,Government Officials,Social Issues,Other,NEGATIVE
barely-true,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",Democrat,0.4274193548387097,Government Officials,Economy and Finance,Broadcast Media,NEGATIVE
false,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,Other,-2.0,Government Officials,Politics and Government,Print and Online Publications,NEGATIVE
false,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",Republican,0.1267123287671233,Government Officials,Social Issues,Other,POSITIVE
true,I belong to the AFL-CIO.,Republican,-0.07692307692307693,Government Officials,Other,Public Speaking,POSITIVE
half-true,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,Republican,0.11363636363636363,Government Officials,Other,Broadcast Media,NEGATIVE
barely-true,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",Republican,0.11363636363636363,Government Officials,Foreign Policy and Security,Broadcast Media,NEGATIVE
true,Did you know US population growth is at its lowest since the Great Depression?,Republican,2.0,Business & Industry Leaders,Social Issues,Social Media and Online Platforms,NEGATIVE
mostly-true,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",Republican,0.4166666666666667,Government Officials,Other,Public Speaking,NEGATIVE
true,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",Other,0.5,Media Professionals,Other,Other,NEGATIVE
mostly-true,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",Democrat,0.25,Government Officials,Social Issues,Broadcast Media,POSITIVE
mostly-true,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",Republican,0.42,Others,Foreign Policy and Security,Broadcast Media,NEGATIVE
false,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",Republican,-0.7806748466257669,Government Officials,Foreign Policy and Security,Broadcast Media,NEGATIVE
true,Sen. Obama has always had a 100 percent prochoice rating.,Democrat,0.7441860465116279,Government Officials,Social Issues,Other,POSITIVE
half-true,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",Democrat,1.0,Government Officials,Economy and Finance,Public Speaking,NEGATIVE
true,The (federal) debt is growing by more than $4 billion a day.,Republican,-0.07692307692307693,Government Officials,Economy and Finance,Other,POSITIVE
half-true,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",Democrat,1.3333333333333333,Government Officials,Economy and Finance,Broadcast Media,POSITIVE
false,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",Democrat,-0.36,Government Officials,Other,Public Speaking,POSITIVE
mostly-true,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,Republican,0.06666666666666667,Business & Industry Leaders,Economy and Finance,Public Speaking,NEGATIVE
half-true,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",Democrat,1.3333333333333333,Media Professionals,Politics and Government,Other,NEGATIVE
barely-true,Says Obama promised unemployment would never go above 8 percent.,Republican,0.6228070175438597,Government Officials,Economy and Finance,Broadcast Media,NEGATIVE
true,The economy is creating jobs at the fastest pace since 1999.,Democrat,0.7441860465116279,Government Officials,Economy and Finance,Public Speaking,POSITIVE
mostly-true,"In a majority of states, you can now marry freely, but can still be fired for who you love.",Democrat,0.5625,Government Officials,Social Issues,Personal and Campaign Communications,NEGATIVE
pants-fire,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",Democrat,0.4274193548387097,Government Officials,Other,Personal and Campaign Communications,POSITIVE
false,"About half of the presidents have been governors; half of them, senators.",Republican,-0.17117117117117117,Government Officials,Politics and Government,Public Speaking,POSITIVE
mostly-true,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",Democrat,0.7330316742081447,Government Officials,Economy and Finance,Public Speaking,NEGATIVE
mostly-true,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",Democrat,0.75,Government Officials,Healthcare,Public Speaking,NEGATIVE
true,Says 88 Texas constables have died in the line of duty.,Democrat,2.0,Others,Social Issues,Personal and Campaign Communications,NEGATIVE
mostly-true,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",Republican,1.25,Government Officials,Economy and Finance,Print and Online Publications,NEGATIVE
mostly-true,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,Democrat,0.7330316742081447,Government Officials,Other,Public Speaking,NEGATIVE
half-true,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,Other,0.13636363636363635,Media Professionals,Social Issues,Personal and Campaign Communications,NEGATIVE
mostly-true,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,Republican,0.1267123287671233,Government Officials,Other,Other,NEGATIVE
mostly-true,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",Republican,0.43023255813953487,Government Officials,Politics and Government,Broadcast Media,POSITIVE
barely-true,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",Republican,0.4076923076923077,Government Officials,Economy and Finance,Other,NEGATIVE
pants-fire,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",Other,-0.32142857142857145,Media Professionals,Foreign Policy and Security,Other,POSITIVE
barely-true,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",Other,-1.0405405405405406,Media Professionals,Social Issues,Broadcast Media,POSITIVE
mostly-true,Newt Gingrichs immigration plan offers a new doorway to amnesty.,Republican,0.11363636363636363,Government Officials,Social Issues,Public Speaking,POSITIVE
barely-true,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",Republican,1.1666666666666667,Others,Other,Public Speaking,NEGATIVE
mostly-true,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",Republican,-0.5555555555555556,Education & Non-Profit,Politics and Government,Other,NEGATIVE
mostly-true,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,Democrat,0.7330316742081447,Government Officials,Economy and Finance,Broadcast Media,NEGATIVE
half-true,Donald Trump has said nuclear proliferation is OK.,Democrat,0.8846153846153846,Government Officials,Foreign Policy and Security,Broadcast Media,POSITIVE
true,"Hillary Clinton has taken over $800,000 from lobbyists.",Democrat,0.7441860465116279,Government Officials,Social Issues,Print and Online Publications,NEGATIVE
false,Barack Obama has never even worked in business.,Republican,0.6935483870967742,Government Officials,Other,Public Speaking,NEGATIVE
half-true,Says the Arizona immigration law expressly bans racial profiling.,Republican,0.20588235294117646,Government Officials,Social Issues,Other,NEGATIVE
false,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,Republican,-1.3,Others,Social Issues,Broadcast Media,NEGATIVE
barely-true,"On the VA: Over 300,000 veterans have died waiting for care.",Republican,-0.7806748466257669,Government Officials,Healthcare,Public Speaking,NEGATIVE
mostly-true,Were now spending 42 percent of our economy on government.,Republican,0.11363636363636363,Government Officials,Politics and Government,Broadcast Media,NEGATIVE
half-true,We (Democrats) have made steady progress creating jobs and improving our schools.,Democrat,1.0,Government Officials,Economy and Finance,Other,POSITIVE
pants-fire,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,Republican,-1.6666666666666667,Government Officials,Environment and Energy,Legislative and Official Proceedings,NEGATIVE
true,"Whether you like to admit it or not, half our general revenue goes to education.",Republican,-0.6,Government Officials,Politics and Government,Other,NEGATIVE
half-true,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",Republican,1.0,Government Officials,Other,Broadcast Media,NEGATIVE
barely-true,Climate change is directly related to the growth of terrorism.,Independent,0.956989247311828,Government Officials,Environment and Energy,Broadcast Media,NEGATIVE
barely-true,The jobs bill includes President Obamas tax on soup kitchens,Republican,-0.2777777777777778,Others,Economy and Finance,Print and Online Publications,POSITIVE
barely-true,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,Republican,0.6228070175438597,Government Officials,Other,Broadcast Media,NEGATIVE
false,We have more illegal immigrants here than we did five years ago.,Republican,0.43023255813953487,Government Officials,Social Issues,Broadcast Media,NEGATIVE
barely-true,Says Rick Perry wrote a letter supporting Hillarycare.,Republican,0.046875,Government Officials,Healthcare,Broadcast Media,NEGATIVE
pants-fire,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",Republican,-3.0,Others,Healthcare,Broadcast Media,NEGATIVE
mostly-true,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,Republican,0.90625,Government Officials,Social Issues,Broadcast Media,NEGATIVE
half-true,Says Chris Christie vetoed a jobs package of 30 bills.,Democrat,0.21428571428571427,Government Officials,Economy and Finance,Broadcast Media,NEGATIVE
true,There are already more American jobs in the solar industry than in coal mining.,Democrat,0.7857142857142857,Government Officials,Environment and Energy,Print and Online Publications,NEGATIVE
half-true,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,Democrat,-1.0,Government Officials,Other,Personal and Campaign Communications,NEGATIVE
half-true,Barack Obama is in an economy thats only worsened since hes been president of the United States.,Independent,1.6666666666666667,Media Professionals,Economy and Finance,Broadcast Media,NEGATIVE
mostly-true,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",Republican,-0.0625,Legal & Advocacy,Social Issues,Other,NEGATIVE
false,Says Thomas Eric Duncan came into the United States with an elevated temperature.,Republican,-2.0,Government Officials,Healthcare,Other,POSITIVE
mostly-true,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,Democrat,0.16666666666666666,Government Officials,Foreign Policy and Security,Broadcast Media,POSITIVE
half-true,Gas prices have gone up $2 since Obama took office.,Republican,1.0,Legal & Advocacy,Environment and Energy,Social Media and Online Platforms,NEGATIVE
true,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,Democrat,0.5925925925925926,Government Officials,Social Issues,Personal and Campaign Communications,POSITIVE
true,Says judges get better benefits at a lower cost than everybody else in the state.,Republican,0.14814814814814814,Government Officials,Other,Public Speaking,NEGATIVE
true,Small businesses create 70 percent of the jobs in America.,Republican,-0.2777777777777778,Others,Economy and Finance,Other,POSITIVE
half-true,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",Other,1.0,Business & Industry Leaders,Healthcare,Personal and Campaign Communications,NEGATIVE
mostly-true,If Texas were a country our economy would rank # 10...in the WORLD.,Republican,0.13636363636363635,Government Officials,Economy and Finance,Social Media and Online Platforms,NEGATIVE
false,There are more oil rigs in operation in the United States than the rest of the world combined.,Democrat,0.2619047619047619,Government Officials,Economy and Finance,Broadcast Media,POSITIVE
half-true,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",Democrat,1.0925925925925926,Government Officials,Economy and Finance,Other,NEGATIVE
half-true,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",Democrat,0.8,Government Officials,Social Issues,Public Speaking,POSITIVE
mostly-true,The Republicans have 2 percent of the Muslim vote.,Other,2.0,Legal & Advocacy,Other,Other,NEGATIVE
mostly-true,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",Democrat,1.15,Government Officials,Law and Ethics,Personal and Campaign Communications,NEGATIVE
half-true,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",Other,-1.0638297872340425,Media Professionals,Economy and Finance,Social Media and Online Platforms,NEGATIVE
mostly-true,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,Democrat,0.7330316742081447,Government Officials,Politics and Government,Social Media and Online Platforms,NEGATIVE
false,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",Other,-0.32142857142857145,Media Professionals,Other,Broadcast Media,NEGATIVE
false,Not one Republican has the guts to recognize that climate change is real.,Independent,0.956989247311828,Government Officials,Environment and Energy,Broadcast Media,NEGATIVE
half-true,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",Independent,0.956989247311828,Government Officials,Economy and Finance,Personal and Campaign Communications,POSITIVE
pants-fire,David Dewhurst has a record of promoting an income tax.,Republican,-0.17117117117117117,Government Officials,Economy and Finance,Other,POSITIVE
mostly-true,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,Independent,2.0,Government Officials,Environment and Energy,Print and Online Publications,NEGATIVE
barely-true,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",Democrat,0.5925925925925926,Government Officials,Foreign Policy and Security,Broadcast Media,NEGATIVE
false,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",Republican,-0.18181818181818182,Government Officials,Social Issues,Other,NEGATIVE
barely-true,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,Republican,-0.3333333333333333,Government Officials,Economy and Finance,Broadcast Media,POSITIVE
barely-true,Says HB2 hasnt moved the needle one iota on North Carolinas economy.,Republican,0.5,Government Officials,Economy and Finance,Public Speaking,NEGATIVE
false,Close to 30% of our federal prison population consists of illegal immigrants.,Republican,-2.0,Others,Social Issues,Social Media and Online Platforms,NEGATIVE
false,Obamacare is the biggest tax increase in American history.,Republican,-0.5,Others,Politics and Government,Broadcast Media,POSITIVE
mostly-true,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",Other,2.0,Media Professionals,Economy and Finance,Broadcast Media,NEGATIVE
barely-true,Milwaukee Mayor Tom Barrett has held the line on property taxes.,Democrat,0.7441860465116279,Government Officials,Economy and Finance,Public Speaking,POSITIVE
true,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,Democrat,0.5925925925925926,Government Officials,Other,Broadcast Media,NEGATIVE
true,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",Republican,-3.0,Government Officials,Other,Print and Online Publications,POSITIVE
false,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,Democrat,0.5476190476190477,Government Officials,Other,Personal and Campaign Communications,NEGATIVE
half-true,On how money from a possible lease of the Ohio Turnpike would be used,Republican,0.53125,Government Officials,Other,Broadcast Media,NEGATIVE
mostly-true,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",Democrat,0.7441860465116279,Government Officials,Economy and Finance,Public Speaking,NEGATIVE
half-true,"The president has had 1,540 of his nominations confirmed, only four defeated.",Republican,0.42,Others,Law and Ethics,Broadcast Media,NEGATIVE
true,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,Republican,1.0,Government Officials,Foreign Policy and Security,Other,NEGATIVE
barely-true,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.",Democrat,0.5,Others,Other,Broadcast Media,NEGATIVE
mostly-true,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,Democrat,2.0,Business & Industry Leaders,Law and Ethics,Other,NEGATIVE
true,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",Republican,0.5,Government Officials,Foreign Policy and Security,Broadcast Media,POSITIVE
barely-true,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,Democrat,0.5,Others,Other,Public Speaking,NEGATIVE
half-true,One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,Democrat,0.4274193548387097,Government Officials,Economy and Finance,Broadcast Media,POSITIVE
half-true,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""",Democrat,1.0,Government Officials,Foreign Policy and Security,Other,NEGATIVE
mostly-true,The Paul Ryan budget proposal would privatize Medicare.,Other,0.0,Legal & Advocacy,Politics and Government,Personal and Campaign Communications,NEGATIVE
mostly-true,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.,Other,2.0,Others,Law and Ethics,Print and Online Publications,NEGATIVE
half-true,The United States imprisons more than any nation in the world.,Democrat,1.15,Government Officials,Law and Ethics,Public Speaking,NEGATIVE
pants-fire,Says Marco Rubio is the one for an open border.,Republican,0.3125,Others,Social Issues,Broadcast Media,POSITIVE
mostly-true,"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.",Republican,-0.5555555555555556,Education & Non-Profit,Politics and Government,Other,NEGATIVE
true,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,Democrat,0.7857142857142857,Government Officials,Politics and Government,Public Speaking,NEGATIVE
false,Providences port is 200 miles closer to Europe than any other Eastern port.,Other,-2.5,Business & Industry Leaders,Economy and Finance,Public Speaking,POSITIVE
true,Says you need a photo ID to purchase Sudafed in Texas.,Republican,-0.07692307692307693,Government Officials,Politics and Government,Broadcast Media,NEGATIVE
mostly-true,Twenty percent of housing in Portlands Pearl District is affordable.,Democrat,2.0,Government Officials,Economy and Finance,Print and Online Publications,POSITIVE
